DAC Voltage: 0.00 V, Sense Voltage: 0.00 V, Sense Current: 0.00 mA
DAC Voltage: 0.10 V, Sense Voltage: 0.00 V, Sense Current: 0.00 mA
DAC Voltage: 0.20 V, Sense Voltage: 0.14 V, Sense Current: 141.74 mA
DAC Voltage: 0.30 V, Sense Voltage: 0.26 V, Sense Current: 259.04 mA
DAC Voltage: 0.40 V, Sense Voltage: 0.36 V, Sense Current: 361.68 mA
DAC Voltage: 0.50 V, Sense Voltage: 0.46 V, Sense Current: 459.43 mA
DAC Voltage: 0.60 V, Sense Voltage: 0.53 V, Sense Current: 527.86 mA
DAC Voltage: 0.70 V, Sense Voltage: 0.56 V, Sense Current: 557.18 mA
DAC Voltage: 0.80 V, Sense Voltage: 0.53 V, Sense Current: 532.75 mA
DAC Voltage: 0.90 V, Sense Voltage: 0.55 V, Sense Current: 547.41 mA
DAC Voltage: 1.00 V, Sense Voltage: 0.55 V, Sense Current: 547.41 mA
DAC Voltage: 1.10 V, Sense Voltage: 0.55 V, Sense Current: 552.30 mA
DAC Voltage: 1.20 V, Sense Voltage: 0.56 V, Sense Current: 557.18 mA
DAC Voltage: 1.30 V, Sense Voltage: 0.56 V, Sense Current: 557.18 mA
DAC Voltage: 1.40 V, Sense Voltage: 0.57 V, Sense Current: 566.96 mA
DAC Voltage: 1.50 V, Sense Voltage: 0.57 V, Sense Current: 566.96 mA
DAC Voltage: 1.60 V, Sense Voltage: 0.56 V, Sense Current: 557.18 mA
DAC Voltage: 1.70 V, Sense Voltage: 0.57 V, Sense Current: 571.85 mA
DAC Voltage: 1.80 V, Sense Voltage: 0.57 V, Sense Current: 566.96 mA
DAC Voltage: 1.90 V, Sense Voltage: 0.58 V, Sense Current: 576.74 mA
DAC Voltage: 2.00 V, Sense Voltage: 0.53 V, Sense Current: 527.86 mA
DAC Voltage: 2.10 V, Sense Voltage: 0.56 V, Sense Current: 562.07 mA
DAC Voltage: 2.20 V, Sense Voltage: 0.56 V, Sense Current: 562.07 mA
DAC Voltage: 2.30 V, Sense Voltage: 0.58 V, Sense Current: 581.62 mA
DAC Voltage: 2.40 V, Sense Voltage: 0.55 V, Sense Current: 552.30 mA
DAC Voltage: 2.50 V, Sense Voltage: 0.59 V, Sense Current: 591.40 mA
DAC Voltage: 2.60 V, Sense Voltage: 0.59 V, Sense Current: 586.51 mA
DAC Voltage: 2.70 V, Sense Voltage: 0.58 V, Sense Current: 581.62 mA
DAC Voltage: 2.80 V, Sense Voltage: 0.59 V, Sense Current: 586.51 mA
DAC Voltage: 2.90 V, Sense Voltage: 0.58 V, Sense Current: 576.74 mA
DAC Voltage: 3.00 V, Sense Voltage: 0.58 V, Sense Current: 581.62 mA
DAC Voltage: 3.10 V, Sense Voltage: 0.58 V, Sense Current: 576.74 mA
DAC Voltage: 3.20 V, Sense Voltage: 0.60 V, Sense Current: 601.17 mA
DAC Voltage: 3.30 V, Sense Voltage: 0.58 V, Sense Current: 581.62 mA
DAC Voltage: 3.40 V, Sense Voltage: 0.59 V, Sense Current: 591.40 mA
DAC Voltage: 3.50 V, Sense Voltage: 0.59 V, Sense Current: 586.51 mA
DAC Voltage: 3.60 V, Sense Voltage: 0.58 V, Sense Current: 576.74 mA
DAC Voltage: 3.70 V, Sense Voltage: 0.61 V, Sense Current: 606.06 mA
DAC Voltage: 3.80 V, Sense Voltage: 0.61 V, Sense Current: 606.06 mA
DAC Voltage: 3.90 V, Sense Voltage: 0.61 V, Sense Current: 610.95 mA
DAC Voltage: 4.00 V, Sense Voltage: 0.62 V, Sense Current: 615.84 mA
DAC Voltage: 4.10 V, Sense Voltage: 0.60 V, Sense Current: 596.29 mA
DAC Voltage: 4.20 V, Sense Voltage: 0.61 V, Sense Current: 610.95 mA
DAC Voltage: 4.30 V, Sense Voltage: 0.61 V, Sense Current: 606.06 mA
DAC Voltage: 4.40 V, Sense Voltage: 0.62 V, Sense Current: 620.72 mA
DAC Voltage: 4.50 V, Sense Voltage: 0.64 V, Sense Current: 635.39 mA
DAC Voltage: 4.60 V, Sense Voltage: 0.62 V, Sense Current: 615.84 mA
DAC Voltage: 4.70 V, Sense Voltage: 0.57 V, Sense Current: 571.85 mA
DAC Voltage: 4.80 V, Sense Voltage: 0.63 V, Sense Current: 625.61 mA
DAC Voltage: 4.90 V, Sense Voltage: 0.60 V, Sense Current: 596.29 mA
DAC Voltage: 5.00 V, Sense Voltage: 0.62 V, Sense Current: 620.72 mA
